"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"8364","I am gonna miss you #MisYou Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ï",FALSE,4,NA,2017-05-13 18:33:14,FALSE,NA,"863462154657292291",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rawrbiaaa",0,FALSE,FALSE,NA,NA
"8365","RT @AmmarAshraf: Guard of Honour by pakistan team. Misbah leaving the fiel Uff #MisYou https://t.co/s7Nb9O4FdL",FALSE,0,NA,2017-05-13 18:33:12,FALSE,NA,"863462146121879552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harisiltaf",224,TRUE,FALSE,NA,NA
"8366","RT @ESPNcricinfo: Misbah-ul-Haq and Younis Khan together at the crease for the final time in Test cricket 

https://t.co/bclaPv1C52 #MisYou‚Ä¶",FALSE,0,NA,2017-05-13 18:33:11,FALSE,NA,"863462143315914752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RZM1977",392,TRUE,FALSE,NA,NA
"8367","RT @ESPNcricinfo: Misbah-ul-Haq and Younis Khan together at the crease for the final time in Test cricket 

https://t.co/bclaPv1C52 #MisYou‚Ä¶",FALSE,0,NA,2017-05-13 18:33:11,FALSE,NA,"863462139285078018",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mianzaheer09",392,TRUE,FALSE,NA,NA
"8368","RT @SyedRezaMehdi: Misbah-ul-Haq walks off to a guard of honour from his team-mates. This is how legend career comes to an end. #MisYou #WI‚Ä¶",FALSE,0,NA,2017-05-13 18:33:10,FALSE,NA,"863462137687142401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ma_awan",224,TRUE,FALSE,NA,NA
"8369","A last embrace in the middle for the 2 Pakistani greats #Cricket #misyou https://t.co/l5dAtrwaDb",FALSE,308,NA,2017-05-13 18:33:09,FALSE,NA,"863462134327410688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saj_PakPassion",208,FALSE,FALSE,NA,NA
"8370","RT @iamusamamir: What a beautiful image #MisYou https://t.co/bWvlSPFk4Q",FALSE,0,NA,2017-05-13 18:33:09,FALSE,NA,"863462131269849088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HamoodShahG",140,TRUE,FALSE,NA,NA
"8371","RT @ZAbbasOfficial: Emotional times #WIvPAK #MisYou",FALSE,0,NA,2017-05-13 18:33:07,FALSE,NA,"863462123325804544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fahad74166074",69,TRUE,FALSE,NA,NA
"8372","I will miss #Misbah decency and #YounisKhan competibilty Ì†ΩÌ∏ü
#MisYou",FALSE,0,NA,2017-05-13 18:33:05,FALSE,NA,"863462116749189121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mathan4u",0,FALSE,FALSE,NA,NA
"8373","Thank You Misbah
##MisYou https://t.co/dl078IkJqU",FALSE,0,NA,2017-05-13 18:33:05,FALSE,NA,"863462116556238850",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","NazimYaseen",0,FALSE,FALSE,NA,NA
"8374","You guys will be missed. #MISYOU https://t.co/6iChgfu6Tu",FALSE,1,NA,2017-05-13 18:33:05,FALSE,NA,"863462114966614016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wajidhussain433",0,FALSE,FALSE,NA,NA
